textos;ODS
Los impuestos sobre la energía o las emisiones de CO2 relacionadas con la energía ahora se encuentran en Dinamarca, Estonia, Finlandia, los Países Bajos, Noruega y el Reino Unido. En los programas de establecimiento de objetivos que involucran el uso de impuestos a la energía, como en los Países Bajos y el Reino Unido, las recompensas por alcanzar los objetivos acordados se brindan en forma de una reducción del impuesto a la energía requerido. Sin embargo, las tasas impositivas sobre el uso de energía para la agricultura son mucho más bajas que las impuestas a toda la economía (Figura 5.2). Una de las razones de esto es que el combustible utilizado en la agricultura a menudo está exento de impuestos. Las exenciones del impuesto sobre los combustibles no proporcionan ninguna señal con respecto a los costos externos, lo que fomenta el uso excesivo.;7
"Hay una distribución diferente entre las especializaciones, una con el nivel más alto de satisfacción entre los empleadores (tanto para habilidades técnicas como básicas) registrado en el sector médico (Tabla 5.1). En Egipto, las habilidades básicas de los graduados no fueron evaluadas como ""fuertes"" por los empleadores según la encuesta presentada en el informe de antecedentes (SPU-MoHE, 2012). Adaptado de la Unidad de Planificación Estratégica del Ministerio de Educación Superior de Egipto (SPU-MoHE) (2012), Educación y formación profesional postsecundaria en Egipto. Dos factores que emergen de la evidencia internacional abogan por una detección sistemática de las dificultades en lectoescritura y aritmética entre los estudiantes de FP: muchas personas desconocen sus problemas, y algunos de los que los conocen pueden ser reacios a admitirlos.";4
Los mecanismos basados ​​en la cantidad son las obligaciones de cuota (generalmente mediante el uso de certificados verdes negociables) y los sistemas de licitación. Los instrumentos de mercado basados ​​en precios son tarifas de alimentación (FiT) y primas de alimentación (FIP), incentivos fiscales, como impuestos al carbono o subvenciones a la inversión. Los inversionistas nucleares tendrían que renunciar a la esperanza de recuperar alguna vez sus desembolsos iniciales en los costos fijos. Desde el punto de vista de los inversores, el advenimiento de las energías renovables de costo variable cero va en contra de las tecnologías intensivas en capital como la nuclear.;7
Su trayectoria de tendencia combinada (Figura 4) está muy influenciada por las capturas en el área 87, el Pacífico Sudeste, donde las condiciones oceanográficas de El Niño influyen fuertemente en la abundancia de anchoveta. Las tendencias generales en las dos áreas son opuestas: en el área 34 las capturas han crecido hasta un máximo de 4,8 millones de toneladas, y en el área 47 han disminuido progresivamente desde el máximo general alcanzado en 1978, aunque se han ido recuperando en los últimos tres años. . Por el contrario, la captura total en el área 87, incluso si se analiza excluyendo la anchoveta, ha disminuido drásticamente desde su punto máximo en 1991.;14
Washington, DC, Banco Mundial: 60-66, disponible en: www.worldbank.org/html/fpd/esmap/energy_report2000/ch7.pdf. Viento de cola favorable, iniciación a la alta velocidad china (compra), Goldwind, 23 de octubre, disponible en: www.e696.com/articles.aspx?id=1057653&gateid=011203. Impactos socioeconómicos de la electrificación rural en Bután. Londres, The Royal Institute of International Affairs y Earthscan. ;7
Una explicación ofrecida para esto es que las personas que se encuentran en la parte inferior de la escala de distribución no se beneficiaron tanto del crecimiento como otros sectores de la población durante la década (Morley, 2001, Szekely, 2001). En términos generales, los países menos desiguales tuvieron peor desempeño en promedio que los más desiguales durante la década, como se describe en Gasparini (2003). La desigualdad aumentó en Argentina, Venezuela (República Bolivariana de) y Uruguay, cuyas economías tienen menores niveles de desigualdad, mientras que los países donde la desigualdad disminuyó fueron invariablemente aquellos con altos niveles iniciales de desigualdad. Esto se vio agravado por los efectos de la reforma estructural (liberalización comercial, reforma financiera, reforma tributaria, privatizaciones y reformas del mercado laboral). En el caso de la apertura comercial, la evidencia sugiere que esto contribuyó a aumentar la desigualdad (ver las revisiones en Taylor, 2005, y Goldberg y Ravnick, 2007), mientras que para las otras reformas los análisis son menos convincentes.;10
Primero se presentan los desarrollos en el crecimiento de la productividad agrícola y el uso de recursos para delinear el problema. Luego se analizan las diferentes formas en que los sistemas de innovación, la política agrícola, la estructura agrícola y otros factores afectan la productividad y la sostenibilidad agrícolas. Se hacen sugerencias para fortalecer los sistemas de innovación y mejorar las políticas agrícolas, a fin de fomentar el crecimiento de la productividad agrícola de manera eficiente y sostenible.;2
Puede que sea una inversión costosa a largo plazo, pero a corto plazo rara vez es posible predecir resultados claros e identificables de las políticas, sobre todo teniendo en cuenta los desfases temporales que probablemente se produzcan. Además, los profesores suelen inspirar más confianza pública que los políticos, por lo que es probable que cualquier resistencia a la reforma por su parte sea eficaz. Incluso cuando los padres tienen una mala opinión del sistema educativo, suelen tener una opinión positiva de la escuela de sus hijos y de sus profesores.;4
"Los problemas de seguridad ""no tradicionales"", como las pandemias, el cambio climático y el terrorismo, ocupan ahora un lugar preponderante en la agenda mundial. Muchos sostienen que la gobernanza basada en el Estado soberano ya no es adecuada, y exigen y construyen nuevos enfoques para gestionar las amenazas que trascienden las fronteras. Basándose en la literatura crítica de la ciencia política, la geografía política y la economía política, este es el primer libro que explica sistemáticamente los resultados de estos esfuerzos. Demuestra que los retos transfronterizos a la seguridad no se gestionan principalmente a través de organizaciones supranacionales, sino transformando los aparatos estatales e integrándolos en redes de gobernanza reguladora multinivel, regionales o mundiales. La contestación sociopolítica que configura este proceso determina la forma, el contenido y el funcionamiento de los regímenes de gobernanza de la seguridad transnacional. A partir de tres estudios de caso en profundidad -la degradación medioambiental, las enfermedades pandémicas y la delincuencia transnacional-, este innovador libro integra los estudios sobre gobernanza global y seguridad internacional e identifica las implicaciones políticas y normativas de la gobernanza de la seguridad no tradicional, aportando ideas tanto para los académicos como para los responsables políticos.";16
Estos países generalmente usan la energía de manera menos eficiente que los países desarrollados. La eficiencia de conversión y utilización de energía de China, por ejemplo, es alrededor de un 25 % más baja que la de los países desarrollados. En términos más generales, los países de rápido desarrollo como China e India son importantes para dar forma a las tendencias mundiales en el desarrollo energético.;7
La recolección de RSU se realiza en la mayoría de las ciudades y pueblos, pero una parte importante de las áreas rurales no cuentan con un sistema de recolección oficial. Durante varios años, la recogida de datos oficiales la realizaba el entonces Ministerio de Transportes e Infraestructuras con la colaboración de INSTAT a través de encuestas anuales sobre residuos urbanos. Municipios informados al Ministerio sobre RSU y sobre residuos de construcción y demolición. Considerando que la gran mayoría de los municipios no tienen acceso a rellenos sanitarios con una puerta de entrada adecuada para el pesaje de camiones que traen desechos, los datos se basan en la cantidad de camiones que se descargan en el vertedero o relleno sanitario. Así, la cantidad de residuos generados es sólo estimativa, a veces incluso en el caso de los rellenos sanitarios modernos.;12
Aunque la mayoría de los indicadores principales de How's Life? Por lo tanto, este capítulo utiliza algunas métricas adicionales que capturan las diferencias de bienestar relevantes para el género. Algunas diferencias entre los dos sexos son inevitables -sólo las mujeres experimentan el embarazo y el parto, por ejemplo- pero muchas otras se derivan de influencias institucionales, culturales y sociales.;5
Se aplica el plan de trabajo de captura incidental y descartes. El plan de gestión legal de 2009 prevé la concesión de cuotas transferibles individuales y derechos de pesca legales. La comisión AFMA respaldó la política de gestión y firmó un memorando de entendimiento con el gobierno de la Isla Norfolk para mantener un papel de supervisión y asesoramiento en la pesquería.;14
En Chile, el gobierno nacional haría bien en crear una definición de zonas de peligro natural y especificar las condiciones para el desarrollo y los tipos de usos del suelo aplicables a ellas. Los principales riesgos en Francia continental son inundaciones, corrimientos de tierra, avalanchas, terremotos e incendios forestales. El PPRn indica zonas de riesgo y prohíbe la construcción o la permite solo bajo ciertas condiciones.;11
Sin embargo, estas estadísticas son difíciles de comparar debido a los diferentes conceptos nacionales de recopilación y procesamiento de la información (Fuller et al., La información de esta subsección se basa en un cuestionario enviado por la OCDE a los países miembros en el transcurso de 2014 con el fin de identificar estrategias eficaces entre los países para mejorar la gobernanza de las competencias y convertir la información cualitativa y cuantitativa sobre las necesidades de competencias en acciones relevantes para la política. El cuestionario se elaboró en cooperación con el Centro Europeo para el Desarrollo de la Formación Profesional (CEDEFOP), la Fundación Europea de Formación (ETF) y la Organización Internacional del Trabajo (OIT). El cuestionario se distribuyó a los gobiernos (Ministerio de Trabajo y Ministerio de Educación), así como a los interlocutores sociales (organizaciones empresariales y confederaciones sindicales).;8
En 2009, la proporción de mujeres con al menos educación secundaria superior era considerablemente mayor que entre los hombres en Brasil, Grecia, Islandia, Italia, Portugal y España. Estos factores están interrelacionados, lo que a menudo dificulta distinguir las causas y los efectos y/o proporcionar respuestas de política específicas e inmediatas. La cifra es el 31% del total de la ayuda bilateral asignable al sector.;5
Además de fortalecer la cooperación horizontal entre ministerios, será necesaria la cooperación vertical con los Lander y los municipios para la implementación de la NAS, ya que las autoridades subnacionales tienen poderes legislativos y administrativos en muchas de las áreas clave para la adaptación al cambio climático. También debe aclararse la participación del sector privado, los interlocutores sociales y las ONG. En este sentido, el proceso participativo de la NAS ya ha proporcionado una base valiosa. La financiación del gobierno ha apoyado a esta comunidad, centrándose en los problemas de Austria, pero también ha alentado la cooperación internacional para aprovechar mayores recursos, en particular como parte de las iniciativas financiadas por la UE (Tabla 5.2).;13
"Es fundamental establecer la relación entre la perspectiva de género y los beneficios operativos. Recompensar y dar publicidad a los ""campeones de género"" -mujeres y hombres que han demostrado su dedicación a la integración de las cuestiones de género- tiene la ventaja añadida de servir de modelo al resto del personal. ¿Cuáles son las ventajas de la perspectiva de género?";5
Cuando se investigó más a fondo, se descubrió que 82 de estas 283 escuelas no participaban realmente en el programa. Por tanto, los investigadores sugirieron que algunas escuelas habían iniciado su propio programa de desarrollo escolar en materia de AfL, a pesar de no haber participado formalmente en el proyecto inicial de la Dirección. Así pues, estos centros creían que formaban parte del programa oficial de la DET (Vibe, 2012).;4
Estas carencias contribuyen a un círculo vicioso de desnutrición, reducción de las perspectivas de desarrollo y pobreza, que afecta a grupos ya desfavorecidos. La prevención de la desnutrición eventualmente reduciría los costos incurridos para las necesidades curativas de atención médica y bienestar social, al tiempo que potencialmente pondría a disposición los recursos para las actividades de desarrollo necesarias (FAO & International Life Sciences Institute, 1997, OMS, 2018a, Levin, 1986, Strauss, et al, 1986, Horton, et al, 1998). Por lo tanto, comprender y abordar la desnutrición siguen siendo factores clave para avanzar en los Objetivos de Desarrollo Sostenible. También forman parte del marco de seguimiento de los ODS.;2
Si bien el consumo interno de trigo en los países del Mashreq es ligeramente inferior, sigue siendo relativamente alto, rondando los 120-150 kg/persona/año. Por otro lado, los países árabes de bajos ingresos, incluidos Somalia y Sudán, tienen niveles de consumo más bajos, similares a los de otros países en desarrollo, debido en gran parte a las limitaciones de la oferta (producción e importación) y a una cultura que no está tan arraigada hacia el trigo. -productos alimenticios a base de. Sin embargo, durante estas cuatro décadas, se pueden observar dos períodos de tiempo distintos.;2
"Durante el último medio siglo, los académicos latinoamericanos han estado señalando el surgimiento de nuevos actores sociales como agentes de democratización social y política. La primera ola de actores se caracterizó por el surgimiento de nuevos agentes —principalmente, nuevos movimientos populares— de transformación social. Al principio, la segunda ola, personificada por las organizaciones no gubernamentales (ONG), se celebró como el surgimiento de una nueva sociedad civil, pero luego fue objeto de duras críticas. La literatura a menudo retrata este desarrollo en la sociedad civil latinoamericana como una tendencia de desplazamiento de los actores de la primera ola por la segunda ola ""ONGización†e incluso denuncia a la nueva sociedad civil como desarraigada, despolitizada y funcional al repliegue. . Así, supuestamente, la ONGización obstaculiza el cambio social. Los autores argumentan que el diagnóstico de ONGización es una descripción defectuosa del cambio dentro de la sociedad civil. Más que la ONGización relacionada con la despolitización y la neoliberalización de la sociedad civil, en la Ciudad de México y Sao Paulo, la...";16
Además de esta observación, también debe señalarse que el monto de la transferencia en relación con el consumo promedio de los hogares pobres es mayor en las zonas rurales que en las urbanas, independientemente de que se tenga o no en cuenta el costo de vida. . Por lo tanto, la política es más eficaz para reducir el número de niños que viven en la pobreza monetaria en las zonas rurales. Este hallazgo sugiere que en lugar de distribuir el mismo monto nominal de transferencia a cada receptor, es importante encontrar una asignación óptima del presupuesto nacional de transferencia. De hecho, la disparidad en los efectos de la crisis y las respuestas políticas también se observa a nivel regional (gráficos 17 y 18, cuadros a7 y a8). En las otras tres regiones, la transferencia no es suficiente para contrarrestar completamente los efectos de la crisis sobre la pobreza monetaria.;1
Casi uno de cada cuatro estudiantes obtuvo un rendimiento inferior en PISA 2009 y no alcanzó el nivel que se considera necesario para participar de manera efectiva en la sociedad. Las prácticas no equitativas a nivel del sistema, como el seguimiento temprano y la transferencia a las escuelas especiales, pueden obstaculizar la equidad y la calidad. El progreso también se ve obstaculizado por la falta de apoyo sistémico para garantizar la capacidad de los maestros y los líderes escolares para abordar las diversas necesidades de los estudiantes y brindar una educación más inclusiva y por la necesidad de una mayor claridad para guiar a las escuelas.;4
En algunos países se observan diferencias especialmente grandes entre las expectativas de futuro de chicos y chicas. En Finlandia, por ejemplo, los chicos (6,2%) tienen más de cuatro veces más probabilidades que las chicas (1,4%) de hacer carrera como ingeniero, científico o arquitecto. Estos resultados indican que las trayectorias profesionales de chicos y chicas ya empiezan a divergir antes de los 15 años, y mucho antes de que se tomen decisiones profesionales importantes.;5
En Francia, por ejemplo, el cargo por extracción representa solo alrededor del 1,3 % del precio del agua que pagan los hogares y, por lo tanto, es poco probable que cambie su comportamiento (Ministerio de Ecología, Desarrollo Sostenible y Energía de Francia, 2012). Evaluar el costo del recurso también es difícil ya que requiere medir el beneficio inducido por el agua para todos los tipos de uso (agricultura que usa agua de riego, suministro de agua potable, energía hidroeléctrica, etc.). El primero se refiere a métodos que usan datos de mercado para obtener valores monetarios. ya sea como cuánto estaría dispuesto a pagar el individuo por el bien o servicio de interés, es decir, su disposición a pagar (WTP), o cuánto requeriría en compensación por estar expuesto a una pérdida de bienestar, es decir, su disposición a aceptar ( WTA).8 Este último se refiere a métodos que utilizan escenarios hipotéticos para estimar la WTP o WTA de los individuos. Los métodos se han utilizado para una amplia gama de bienes no comerciales, además del agua (p. ej., contaminación del aire, niveles de ruido, riesgos para la salud, etc.);6
"Además, la nueva línea del Banco Mundial no se basa en la tasa de inflación de los Estados Unidos; si se hubiera tenido en cuenta, los $1,08 originales se habrían convertido en $1,45 para 2005, con implicaciones obvias para las estimaciones correspondientes del número de personas en situación de pobreza, y por lo tanto, para el logro de la meta de pobreza de los Objetivos de Desarrollo del Milenio para 2015. Además, la nueva ronda sigue un procedimiento inconsistente con respecto a la corrección de las diferencias de precios rural/urbano, aplicándolo solo a los casos de India y China y allí, también, esencialmente usando precios urbanos, introduciendo así lo que Himanshu llama un sesgo urbano. En cualquier caso, las estimaciones actuales de la pobreza mundial son erróneas y un aspecto extraño de esto es que el ajuste urbano-rural selectivo ahora hecho reduce la pobreza mundial medida, mientras que en un artículo anterior Chen y Ravallion (2007) informaron que la pobreza mundial en 1993 PPP $ 1.08 aumenta en aproximadamente 2 puntos porcentuales cuando se hace tal distinción rural-urbana. En 1997, el PNUD superó este absurdo al sugerir que el criterio estadounidense de $14,4 por día podría aplicarse a los países de la OCDE.";1
El Instituto de Aprendizaje también será responsable de trabajar con los empleadores para articular un conjunto común de habilidades transferibles en el lugar de trabajo que se requieren para cada vía técnica. El gobierno también propone crear colegios para la formación de habilidades técnicas de alto nivel (principalmente Niveles 4 y 5), llamados Colegios Nacionales, para el desarrollo de habilidades que se sabe que tienen una gran demanda, incluido el tren de alta velocidad, habilidades digitales, nuclear, petróleo y gas en tierra, y las industrias creativas y culturales. Además, para satisfacer la demanda reconocida de habilidades STEM de nivel superior, se introducirán Institutos de Tecnología para coordinar la educación técnica en materias STEM en niveles superiores (Niveles 3, 4 y 5) en la educación superior, la educación superior y los proveedores privados y la industria. . Los estudiantes que estudien en universidades nacionales e institutos de tecnología en los niveles 4 a 6 serán elegibles para préstamos de aprendizaje avanzado contingentes a los ingresos, similares a los que se ofrecen a los estudiantes universitarios. Pero además de más habilidades, invertir en las habilidades adecuadas es igualmente importante. Los incentivos financieros específicos pueden promover el acceso a la educación superior para personas de entornos desfavorecidos o fomentar el desarrollo de habilidades específicas de alta demanda.;4
Se trata de un marco centrado en los derechos y libertades a los que todos tenemos derecho por el hecho de ser humanos. Se centra en las desventajas socioeconómicas de las mujeres, pero los derechos económicos, sociales, civiles y políticos están profundamente interrelacionados. Los derechos económicos y sociales están estrechamente interrelacionados con todos los demás derechos, especialmente con los derechos civiles y políticos que permiten a las mujeres organizarse y hacer reivindicaciones.;5
Estos concuerdan con las recomendaciones realizadas por la OCDE en su estudio Meeting the Water Reform Challenge (OCDE, 2012b). En 2015, el agua y el saneamiento ya no deberían ser un componente modesto del séptimo Objetivo de Desarrollo del Milenio, sino una prioridad de pleno derecho. Múltiples socios y partes interesadas en la gestión del agua deben reunirse en un ambiente propicio para la confianza.;6
Se espera que la inversión en las plantaciones de caña de azúcar altamente mecanizadas aumente durante el período de las perspectivas, lo que conducirá a mejoras marginales en el rendimiento que, sin embargo, no alcanzan los máximos anteriores. De manera similar, no se espera que los rendimientos de las semillas oleaginosas mejoren sustancialmente en el transcurso de los próximos diez años. Por el contrario, las ganancias de productividad en los cereales (cereales secundarios, trigo y arroz) aumentan sustancialmente, mientras que los rendimientos del algodón aumentan de forma más moderada (Figura 2.7). Actualmente, Brasil es el segundo mayor productor después de Estados Unidos, pero durante el período de las perspectivas, se espera que la diferencia se reduzca a medida que la producción de soja en Brasil continúe expandiéndose.;2
El escenario de contención de costos asume una disminución gradual en el crecimiento anual del gasto en salud relacionado con precios, tecnología y políticas e instituciones de atención de la salud de 1.7% a cero en 2060. El escenario de contención de costos asume una disminución gradual en el crecimiento anual de el gasto en salud relacionado con el precio, la tecnología y las políticas e instituciones de atención de la salud del 1,7 % a cero en 2060. Los factores demográficos incluyen la estructura de edad de la población y su estado de salud, mientras que los no demográficos incluyen el ingreso, la tecnología y los precios relativos.;3
"Investigaciones anteriores muestran que cuando las escuelas utilizan una estructura de prioridad dinámica (""límites suaves""), les permite admitir menos o más estudiantes que su techo. Siempre que los estudiantes con la prioridad más alta tengan su opción óptima, esto es más beneficioso para el bienestar general de todos los tipos de estudiantes que los límites estrictos, que limitan estrictamente el número de estudiantes aceptados para cada tipo. A diferencia de los límites estrictos, los límites suaves no comprometen a las escuelas a lograr un equilibrio entre los diferentes tipos de estudiantes.";4
La sustitución de la asistencia pública por la asistencia profesional (financiada en parte por los empresarios) o la asistencia privada (con importantes copagos) reduce los costes para los municipios. La elección del usuario, hasta ahora muy limitada en el sistema público, se amplía así con un coste limitado para las finanzas públicas. Sin embargo, el sistema genera incentivos para el desplazamiento de costes entre actividades financiadas a través de diferentes canales, lo que lleva a decisiones subóptimas en cuanto a la prestación de asistencia y a grandes desigualdades en el acceso entre grupos socioeconómicos con diferente cobertura y recursos financieros, y regiones con distinta oferta de asistencia sanitaria.;3
Por lo tanto, las microfinanzas están teniendo un impacto modernizador, incluso si ese impacto es involuntario, no reconocido y no reconocido. Los prestatarios aprenden algunos principios básicos de negocios y, con suerte, y tal vez algo de ayuda, pueden volverse más viables e incluso expandirse. Las microfinanzas también brindan a los desempleados ya las personas que viven en la pobreza algunas oportunidades, esperanza y autoestima.;1
El proyecto piloto continuará hasta que el Parlamento implemente los cambios necesarios en la ley de educación. Con base en una evaluación de 2013 de esta experiencia, se decidirá si el tema se convertirá en una parte permanente del plan de estudios. Este curso orientado a la práctica tiene como objetivo ayudar a los estudiantes a experimentar la vida laboral mediante el desarrollo de productos y servicios.;4
Por el lado de las exportaciones, el aumento del comercio estuvo impulsado principalmente por las exportaciones de trigo, cuyo volumen anual casi se duplicó y cuyo valor anual se triplicó con creces entre 1995-97 y 2008-10. Kazajstán se encuentra hoy entre los diez principales exportadores de trigo del mundo (sexto en 2011/12). En cuanto a las importaciones, el crecimiento del comercio se vio respaldado por la mejora de los ingresos y el fortalecimiento de la moneda nacional.;2
En el caso de la red de autobuses, siempre que las máquinas expendedoras de boletos estén disponibles en la mayoría de las paradas, tal solución podría ser bastante costosa para el lanzamiento, en particular en comparación con formas más modernas como a través del sitio web y los servicios móviles, que ya están disponibles en algunas ciudades capitales. El único caso puede ser el de Sofía y Bucarest, que pueden considerarse ciudades pares. Tienen la misma cantidad de opciones de transporte público y, aunque Sofía tiene una red de transporte público relativamente un poco más accesible en términos de longitud y estaciones, es Bucarest la que logra una mayor demanda relativa al tiempo que ofrece en promedio más opciones de compra de boletos. La compilación de varias capitales muestra, al mismo tiempo, que las ciudades más ricas ofrecen más opciones de compra de boletos (gráfico 2.28.),;11
Para impulsar estas innovaciones más fundamentales, incluidos los cambios en el comportamiento de los consumidores, se necesitan otros enfoques y herramientas políticas. Por ejemplo, además de mejorar la eficiencia del combustible de los automóviles, es necesario apoyar otros avances, como estimular nuevas fuentes de energía para los vehículos privados, facilitar la difusión de innovaciones sociales como el uso compartido del automóvil o convertir los sistemas de transporte público en alternativas viables al automóvil. Aunque se necesitan políticas específicas de CPS, también es importante evaluar las implicaciones de las políticas de otros ámbitos para los objetivos de CPS. A menudo existe una tensión entre las políticas sectoriales, como las de desarrollo industrial, agricultura o construcción, cuyo objetivo general es impulsar el consumo, y las políticas de CPS, que buscan moderar los niveles de consumo y cambiar los patrones de consumo.;12
La calidad de los servicios de salud mental debe incluir no sólo la calidad de los servicios especializados, sino también la calidad de los servicios de atención primaria y la calidad de los servicios prestados por otros sectores, por ejemplo los servicios de vivienda o empleo. Sin embargo, a menudo no se puede evitar elegir indicadores para la evaluación comparativa de la calidad que reflejen la fuente de datos disponible en lugar de medidas óptimas de la calidad de la atención, lo que ha perpetuado la dependencia de los indicadores orientados a la hospitalización, en lugar de reflejar el cambio en los patrones de prestación de la atención. Es crucial que, una vez acordadas las medidas óptimas de calidad, exista el compromiso de trabajar para recopilar estos datos. La creación de registros y la evaluación periódica de las personas con SMI en la atención primaria pueden ayudar a reducir la carga de la enfermedad física y mejorar la calidad de la atención (Holt et al.,;3
Si bien la responsabilidad de los Estados y, en tiempos más recientes, de las empresas, se ha discutido a fondo en relación con los derechos humanos, puede estar surgiendo una nueva etapa de evolución en relación con la responsabilidad de los patrocinadores financieros de una empresa que es acusada de abuso de derechos humanos. abusos de derechos. Este artículo considera la base en el derecho internacional para tal responsabilidad emergente y examina algunas de las vías legales utilizadas en litigios nacionales recientes contra instituciones financieras. El artículo concluye examinando algunos de los instrumentos relevantes del derecho internacional 'blando' y señala que aunque hay poca legislación concreta o precedentes judiciales que responsabilicen a las instituciones financieras por las acciones de aquellos en quienes invierten, el potencial de la ley para evolucionar en esa dirección es clara.;16
Los investigadores han examinado en profundidad la idea de utilizar el interés propio como un motivador para el establecimiento de bienes públicos. Los resultados muestran que hay cierta credibilidad en la tesis, pero como es lógico, también hay desventajas. Los responsables políticos nórdicos proveen información útil para conocer estos pros y contras. Esta idea está reflejada en el Modelo de Elección Racional del comportamiento del consumidor. Esto significa que, se haga con la información correcta, es posible cambiar la actitud de la gente y finalmente su conducta hacia pr;12
La proporción de bienes y servicios comercializables explica más de la mitad del Valor Añadido Bruto de tres (Chungcheongnam-do, Gyeonsangbuk-do y Jeollanam-do) de las cinco regiones predominantemente rurales en 2016, en contraste con las dos regiones rurales restantes (Jeju-do y Gangwon-do), que dependen más de sectores no comercializables y han registrado tasas más bajas de crecimiento del PIB per cápita entre 2000 y 2014. Sin embargo, los retos relacionados con la calidad del medio ambiente no son específicos de las zonas rurales per se en Corea, ya que afectan al país en su conjunto. El nivel de contaminación atmosférica es ligeramente inferior en la región TL2 seleccionada que a escala nacional.;11
Reduce la tasa de pobreza en aproximadamente una cuarta parte en Tailandia y Viet Nam, por ejemplo. La reducción del índice de pobreza promedio no ponderado para las tres regiones que se muestra en el cuadro 6 del anexo es notablemente similar a los promedios ponderados por población del modelo Linkage informado en el cuadro 5 del anexo con un supuesto de reemplazo de impuestos similar: el 17 por ciento de este último para Asia, excepto China e India, y el 6,4 % para América Latina están ligeramente por encima del 14 % y el 5,7 % del modelo GTAP, respectivamente. Al igual que los modelos globales, los estudios de caso se centraron en las políticas que distorsionan los precios a partir de 2004, aunque la base de datos de sus modelos CGE y los datos de las encuestas de hogares suelen datar de un poco antes de la década.;1
Sin embargo, los países menos desarrollados y los pequeños Estados insulares en vías de desarrollo necesitan aumentar los esfuerzos para mejorar no solo sus infraestructuras físicas sino también las infraestructuras sociales. Mientras tanto, los países en desarrollo sin litoral necesitan incorporarse a las infraestructuras regionales como parte de la conectividad y la integración regional, de esta forma mejorando la circulación de bienes y servicios entre fronteras. Por ejemplo, de los 400 millones de habitantes que viven en las 36 RSC de la región, existen aún 133 millones de personas sin acceso a fuentes de agua mejoradas en los sectores rurales, 74 millones que carecen de acceso;9
Se cubren cuatro áreas principales: política y gobierno, el poder judicial, el servicio civil y el sector privado. Los organismos de estadística de muchos países no recopilan ni difunden de forma rutinaria datos sobre las mujeres en el poder y la toma de decisiones, y pocas organizaciones internacionales o regionales compilan esas estadísticas. La información más fácilmente disponible sobre la toma de decisiones es el número y la proporción de mujeres en los parlamentos nacionales y los puestos electivos clave, recopilada bajo los auspicios de la Unión Interparlamentaria y supervisada en el marco de los Objetivos de Desarrollo del Milenio (ODM). La base de datos de la Comisión Europea sobre mujeres y hombres en la toma de decisiones brinda una imagen regional completa de las mujeres y los hombres en los puestos más altos.5 La base de datos de estadísticas de género de la Comisión Económica para Europa de las Naciones Unidas (CEPE) y el Fondo de Desarrollo de las Naciones Unidas. s (UNIFEM) bienal El Progreso de las Mujeres en el Mundo proporcionó estadísticas adicionales sobre algunos de los temas tratados en el capítulo. Las estadísticas y análisis sobre algunos de estos temas se basan en gran parte en fuentes disponibles de organizaciones privadas o no gubernamentales. Por lo tanto, la presentación y el análisis de estos temas son relativamente limitados.;5
Los datos contenían información sobre el número de productos de frutas y verduras frescas adquiridos en 711 supermercados de Suecia, incluyendo el valor de compra de los productos descartados por haber expirado. La base de datos fue establecida para 8 categorías de frutas y verduras, desde espárragos;12
Syed Nazakat es corresponsal especial de la revista de noticias The Week en Delhi. Ha informado sobre temas de política, defensa, seguridad, terrorismo y derechos humanos en 17 países. Nazakat ha ganado numerosos premios nacionales de periodismo por sus artículos de investigación sobre las cámaras de tortura secretas de la India, el programa de entregas de India en Nepal, el tráfico de armas en Bangladesh y un informe interno sobre el campo de rehabilitación de Al-Qaeda en Arabia Saudita.;16
Consulte el sitio web de la CMNUCC para obtener la lista completa de países (CMNUCC, 2016). Tres proyectos más, en los Estados Unidos, Australia y China, se encuentran actualmente en diversas etapas de planificación o construcción, y se prevé que comiencen a operar en 2020 o antes (Global CCS Institute, 2016a). Sin embargo, los proyectos Sleipner y Snohvit son actualmente los únicos en los que se inyecta C02 específicamente para almacenamiento permanente. Todos los demás proyectos operativos utilizan el C02 para la recuperación mejorada de petróleo (EOR),26 con el fin de recuperar costos.;7
¿Hasta qué punto las normas sobre competencia personal de los tribunales estatales distribuyen los litigios al foro que puede resolver el conflicto con el menor coste social? Resulta que las normas actuales seleccionan el foro menos costoso en muchos casos. Sin embargo, tres problemas interfieren con el objetivo de minimizar los costes de la resolución de litigios: (a) el análisis en virtud de la Cláusula del Debido Proceso no tiene en cuenta todos los costes sociales de los litigios, (b) las preocupaciones basadas en el federalismo a veces permiten que los tribunales estatales resuelvan casos cuando no son los foros más adecuados, (c) los factores institucionales limitan la capacidad del Tribunal Supremo para impedir el ejercicio excesivo de la jurisdicción de los tribunales estatales. El dilema de lograr la eficiencia del foro dentro del marco legal e institucional existente ayuda a explicar la confusión que impregna los casos de jurisdicción personal de los tribunales estatales del Tribunal Supremo.;16
Este artículo sugiere que la corrupción en el gobierno de Kenia es en gran medida un problema institucional, más que cultural. Atribuye tal corrupción al predominio del poder arbitrario, especialmente en el orden estatutario (en oposición al constitucional). El ordenamiento jurídico otorga a los actores ejecutivo, legislativo y judicial amplios poderes sin establecer mecanismos procesales efectivos para circunscribir su ejercicio. En ausencia de una regulación efectiva, la ley a menudo ayuda al abuso de poder y la corrupción. Si bien la nueva constitución establece principios y mecanismos que pueden mejorar la rendición de cuentas del gobierno, el orden legal debe alinearse con los valores y principios de esta nueva constitución si se quiere frenar el abuso de poder y la corrupción.;16
